Search title,title,lyrics,credits/comments,google drive link/embedded file,youtube link
רוּחַ עֵצָה וּגְבוּרָה, רוּחַ דַּעַת וְיִרְאַת הַ",Eitan Katz,,https://www.youtube.com/watch?v=jEp-VIEtV94
Torah Hakdosha,,"ועַתָּה כִּתְבוּ לָכֶם אֶת־הַשִּׁירָה הַזֹּאת<br>
וְלַמְּדָהּ אֶת־בְּנֵי־יִשְׂרָאֵל<br>
תּוֹרָה הַקְּדוֹשָׁה הִתְחַנְּנִי בְּבַקָּשָׁ<br>
.פְּנֵי הַצּוּר נַעֲרָץ בִּקְדֻשָּׁה ",Mordechai Ben David,,https://youtu.be/ShTNwy18Les
Vseiarev,,"וְתֵעָרֵב לְפָנֶיךָ עֲתִירָתֵנוּ<br>
אָנָּא רַחוּם, בְּרַחֲמֶיךָ הָרַבִּים<br>
הָשֵׁב שְׁכִינָתְךָ לְצִיּוֹן עִירֶךָ <br>
וְסֵדֶר הַעֲבוֹדָה לִירוּשָׁלָיִם",Rechnitz,,https://youtu.be/IKMFDzRP9Rg?t=73
Chazek Kiryasi,,"חַזֵּק קִרְיָתִי קֵל אֱלֹקִים עֶלְיוֹן<br>
וְהָשֵׁב אֶת נְוָתִי בְּשִּׂמְחָה וּבְהִגָּיוֹן<br>
יְשׁוֹרְרוּ שָׁם רְנָנַי לְוִיַי וְכֹהֲנַי<br>
אָז תִּתְעַנַג עַל הַ׳ שַׁבַּת הַיּוֹם לַהַ׳",Ari Goldwag,,https://youtu.be/X7QQuNGbwb4?t=30
Chamol,,"חֲמוֹל עַל מַעֲשֶׂיךָ  וְתִשְׂמַח בְּמַעֲשֶׂיךָ<br>
וְיֹאמְרוּ לְךָ חוֹסֶיךָ  בְּצַדֶּקְךָ עֲמוּסֶיךָ<br>
תֻּקְדַּשׁ אָדוֹן עַל כָּל מַעֲשֶׂיךָ <br>
כִּי מַקְדִּישֶׁיךָ בִּקְדֻשָּׁתְךָ קִדַּשְׁתָ <br>
נָאֶה לְקָדוֹשׁ פְּאֵר מִקְּדוֹשִׁים",,,https://youtu.be/PybCbh52PUA?t=35
Chasoif,,"חֲשׂוֹף זְרוֹעַ קָדְשֶׁךָ וְקָרֵב קֵץ הַיְשׁוּעָה<br>
נְקֹם נִקְמַת  דַּם עֲבָדֶיךָ מֵאֻמָּה הָרְשָׁעָה<br>
כִּי אָרְכָה לָנוּ הַיְשׁוּעָה וְאֵין קֵץ לִימֵי הָרָעָה<br>
דְּחֵה אַדְמוֹן בְּצֵל צַלְמוֹן הָקֵם לָנוּ רוֹעֶה שִׁבְעָה",,,https://youtu.be/sS5yA6xpysU
,,"חֶסֶד יְסוֹבְבֶנּוּ ’הַבּוֹטֵחַ בַּהַ’<br>
בֶּאֱמוּנָתוֹ יִחְיֶה צַדִּיק צַדִיק",Yitzy Bald/NYBC,,https://youtu.be/Ckcbpun4_yI
Tov Lehodos,,"טוֹב לְהֹדוֹת לַה'  וּלְזַמֵּר לְשִׁמְךָ עֶלְיוֹן<br>
לְהַגִּיד בַּבֹּֽקֶר חַסְדֶּֽךָ וֶאֱמוּנָתְךָ בַּלֵּילוֹת",,,https://youtu.be/WTSD2opc47c
Yibaneh Hamikdash,,"יִבָּנֶה הַמִּקְדָּשׁ עִיר צִיּוֹן תְּמַלֵּא<br>
וְשָׁם נָשִׁיר שִׁיר חָדָשׁ וּבִרְנָנָה נַעֲלֶה",,,?
Yemin Hashem,,"יְמִין הַ’ רוֹמֵמָה, יְמִין הַ’ עֹשָׂה חָיִל",,,?
Yaaleh Vyavo,,"יַעֲלֶה וְיָבֹא וְיַגִּיעַ וְיֵרָאֶה <br>
וְיֵרָצֶה וְיִשָּׁמַע וְיִפָּקֵד <br>
וְיִזָּכֵר זִכְרוֹנֵנוּ וּפִקְדוֹנֵנוּ <br>
וְזִכְרוֹן אֲבוֹתֵינוּ<br>
וְזִכְרוֹן מָשִׁיחַ בֶּן דָּוִד עַבְדֶּךָ <br>
וְזִכְרוֹן יְרוּשָׁלַיִם עִיר קָדְשֶׁךָ<br>
וְזִכְרוֹן כָּל עַמְּךָ בֵּית יִשְׂרָאֵל<br>
לְפָנֶיךָ לִפְלֵטָה לְטוֹבָה   ",,,https://youtu.be/stA4jWKY-uo?t=47
Yaaleh Vyavo,,"יַעֲלֶה תַּחֲנוּנֵנוּ מֵעֶרֶב<br>
וְיָבוֹא שַׁוְעָתֵנוּ מִבֹּקֶר<br>
וְיֵרָאֶה בַּקָּשָׁתֵנוּ עַד עָרֶב<br>
וְיֵרָאֶה נַאֲקָתֵנוּ עַד עָרֶב",MBD,,https://youtu.be/jL7uTLfzUMU
Yesimech,,"יְשֲׁמֵך אֱלֹקִים כֶּאֶפְרַיִם וְכִמְנָשֶׁה<br>
יְשֲׁמֱֳך אֶלׂקִים כְּשָׁרָה רִבְקָה רָחֵל וְלֱאָה <br>
יְבָרֶכְךָ ה' וְיִשְׁמְרֶךָ יָאֵר ה' פָּנָיו אֵלֶיךָ וִיחֻנֶּךָּ:<br>
יִשָּׂא ה' פָּנָיו אֵלֶיךָ וְיָשֵׂם לְךָ שָׁלוֹם",,,https://youtu.be/sNIKkk4S1VI?t=32
Keayol Taarog,,"כְּאַיָּל תַּעֲרֹג עַל-אֲפִיקֵי-מָיִם<br>
כֵּן נַפְשִׁי תַעֲרֹג אֵלֶיךָ אֱלֹקִים<br>
צָמְאָה נַפְשִׁי  לֵאֱלֹקִים - לְקֵל חָי<br>
מָתַי אָבוֹא; וְאֵרָאֶה פְּנֵי אֱלֹקים",,,"https://www.youtube.com/watch?v=SbCfwD5yo, https://youtu.be/CmrBRb6uCCg?t=29, https://youtu.be/117ED6_iEVU,"
Kad Yasvun,,"כַּד יַתבֻון יְשׂרָאֵל וְעֹסקִין בֽשִמחַת הַתֹּורָה<br>
קוּדְשָׁא בְּריךְ הוּא אֹומֵר לְפַלמַיא דִילֵיה<br>
חַזוּ בָּנַי חַבִיבַי ",,,https://youtu.be/PWbfWxxYCCo?t=23
Koh Amar,,"כֹּה אָמַר ה' זָכַרְתִּי לָךְ חֶסֶד נְעוּרַיִךְ<br>
אַהֲבַת כְּלוּלֹתָיךְ <br>לֶכְתֵּךְ אַחֲרַי בַּמִּדְבָּר <br>
בְּאֶרֶץ לֹא זְרוּעָה",,,https://youtu.be/RGeU66lU80w
Ki Hu Levado,,"כִּי הוּא לְבַדּוֹ פּוֹעֵל גְּבוּרוֹ עֹשֶׂה חֲדָשׁוֹת<br>
בַּֽעַל מִלְחָמוֹת זוֹרֵֽעַ צְדָקוֹת <br>
מַצְמִֽיחַ יְשׁוּעוֹת בּוֹרֵא רְפוּאוֹת <br>
נוֹרָא תְהִלּוֹת אֲדוֹן הַנִּפְלָאוֹת",Yossi Hecht,,https://youtu.be/enzW30WrYqM
Ki Lashem,,"כִּי לַהַּ׳ הַמְלוּכָה וּמוֹשֵל בַּגוֹיִים<br>
וְהָיָה הַּ׳ לְמֶלֶך עַל כָּל הָאָרֶץ<br>
בַּיוֹם הַהוּא יִהיֶה הַּ׳ אֶחָד וּשׁמוֹ אֶחָד ",,,https://youtu.be/furTMTmuYbs
Ki Karov,,"כִּי קָרוֹב  אֵלֶיךָ הַדָבָר מְאוֹד<br>
בְּפִיךָ  וּבִלְבָבְךָ לַעֲשׂוֹתוֹ",Eitan katz,,https://youtu.be/GNf2zRpprPo
Kol Haolam Kulo,,"כָּל הָעוֹלָם כֻּלוֹ גֶשֶׁר צַר מְּאֹד <br>
וְהָעִיקָר לֹא לְפַחֵד כְּלַל",,,x
Keser ,,"כֶּתֶר יִתְּנוּ לְךָ  ה' אֱלֹקינוּ<br>
מַלְאָכִים הֲמוֹנֵי מַעְלָה <br>
עִם עַמְּךָ יִשְׂרָאֵל קְבוּצֵי מַטָּה<br>
יַחַד כֻּלָּם קְדֻשָּׁה לְךָ יְשַׁלֵּשׁוּ<br>",Isaac Honig,,https://youtu.be/sUJ_5DjSSpc
Lev Tahor,,"לֵב טָהוֹר בְּרָא-לִי אֱלֹקים<br>
 וְרוּחַ נָכוֹן  חַדֵּשׁ בְּקִרְבִּי<br>
 אַל-תַּשְׁלִיכֵנִי מִלְּפָנֶיךָ<br>
 וְרוּחַ קָדְשְׁךָ אַל-תִּקַּח מִמֶּנִּי",,,?
Lulei Sorascha,,לוּלֵי תוֹרָתְךָ שַׁעֲשֻׁעָי אָז אָבַדְתִּי בְעָנְיִֽ,Carlebach,,https://youtu.be/9Xu1CD83bjw
Lecha  Amar Libi,,לְךָ אָמַר לִבִּי בַּקְּשׁוּ פָנָי אֶת פָּנֶיךָ ה אֲבַקֵּֽשׁ,,,?
Lakol Z'man Vaeis,,"לַכֹּל זְמָן וְעֵת ... תַּחַת הַשָּׁמָיִם עֵת לֶאֱהֹב<br>
וְעֵת לִשְׂנֹא עֵת מִלְחָמָה וְעֵת שָׁלוֹם ",,,https://youtu.be/gACSLkh_tbY
Lmaancha,,"לְמַעַנְךָ אֶלקֵינוּ עֲשֵׂה וְלא לָנוּ <br>
רְאֵה עֲמִידָתֵנוּ  דַּלִּים וְרֵקִים <br>
הַנְּשָׁמָה לָךְ וְהַגּוּף פָּעֳלָךְ <br>
חוּסָה עַל עֲמָלָךְ הַנְּשָׁמָה לָךְ ",Eitan Katz,,https://youtu.be/c08WY2MNCH8
Lmaan Achai,,"לְמַעַן אַחַי וְרֵעָי אֲדַבְּרָה נָּא שָׁלוֹם בָּךְ <br>
לְמַעַן בֵּית ה׳ אֱלוֹהֵינוּ אֲבַקְשָׁה טוֹב לָךְ",,,https://youtu.be/OIBdca-t-_M
Ich Vil Zein,,"לְעוֹלָם יְהֵא אָדָם  יְרֵא שָמַים<br>
טַאטֶע טַאטֶע טַאטֶע אִיך וִויל זַיין <br>
אוי אִיך וִויל זַיין אַ יְרֵא שָמַים",,,https://youtu.be/cKBalZFrfTE
,,,,,"https://youtu.be/wyWKRPNTlkA?t=34, https://youtu.be/EYclGW5S4dE,"
Mehaira,,"מְהֵרָה, הַ׳ אֶלקֵינוּ<br>
עוֹד יִשָּׁמַע בְּעָרֵי יְהוּדָה<br>
וּבְחֻצוֹת יְרוּשָׁלָֽיִם<br>
קוֹל שָׂשׂוֹן וְקוֹל שִׂמְחָה<br>
קוֹל חָתָן וְקוֹל כַּלָּה<br>
קוֹל מִצְהֲלוֹת חֲתָנִים מֵחֻפָּתָם<br>
וּנְעָרִים מִמִּשְׁתֵּה נְגִינָתָם",,,
Mi Von Siach,,"מִי בַן שִיחַ שׁוֹשַׁן חוֹחִים <br>
אַהַבַת כַּלָה מֽשׂוֹשׂ דוֹדִים <br>
הוּא יְבָרֵך אֶת הֶחָתָן וֽאֶת הַכַּלָה",,,
Machnisei Rchachamim,,"מַכְנִיסֵי רַחֲמִים הַכְנִיסוּ רַחֲמֵינוּ <br>
לִפְנֵי בַּעַל הָרַחֲמִים <br>
מַשְׁמִיעֵי תְפִלָּה הַשְׁמִיעוּ תְפִלָּתֵנוּ <br>
לִפְנֵי שׁוֹמֵעַ תְּפִלָּה <br>
מַשְׁמִיעֵי צְעָקָה הַשְׁמִיעוּ צַעֲקָתֵנוּ <br>
לִפְנֵי שׁוֹמֵעַ צְעָקָה <br>
מַכְנִיסֵי דִּמְעָה הַכְנִיסוּ דִמְעוֹתֵינוּ<br> 
לִפְנֵי מֶלֶךְ מִתְרַצֶּה בִּדְמָעוֹת <br>
הִשְׁתַּדְּלוּ וְהַרְבּוּ תְּחִנָּה וּבַקָּשָׁה <br>
לִפְנֵי מֶלֶךְ קֵל רָם וְנִשָּׂא",mbd,,https://youtu.be/yonpaLGsovw
Mimkomcha,,"מִמְּקוֹמְךָ מַלְכֵּנוּ תּוֹפִיעַ <br>
וְתִמְלוֹךְ עָלֵינוּ כִּי מְחַכִּים אֲנַחְנוּ לָךְ <br>
מָתַי תִּמְלךְ בְּצִיּוֹן בְּקָרוֹב בְּיָמֵינוּ <br>
לְעוֹלָם וָעֶד תִּשְׁכּוֹן תִּתְגַּדַּל וְתִתְקַדַּשׁ <br>
בְּתוֹךְ יְרוּשָׁלַיִם עִירְךָ",,,https://youtu.be/eYBXusKQ7Ws
Mikolos Mayim Rabim,,"מִקֹּלוֹת מַיִם רַבִּים אַדִּירִים<br>
מִשְׁבְּרֵי יָם אַדִּיר בַּמָּרוֹם ה'",,,https://youtu.be/V3TlK9i-Y0k
Maskil L'dovid,,"מַשְׂכִּיל לְדָוִד בִּהְיוֹתוֹ בַמְּעָרָה תְּפִלָּה<br>
קוֹלִי אֶל־ה אֶזְעָק קוֹלִי אֶל־ה אֶתְחַנָּן <br>
אֶשְׁפֹּךְ לְפָנָיו שִׂיחִי צָרָתִי לְפָנָיו אַגִּיד",,,https://youtu.be/ows8Vz3dpOs
Naar Hayisi,,"נָעַר הַיִיתִי וְגַם זַקָנְתִי <br>
וְלֹא רָאִיתִי צָדִיק נֶעֶזָב<br>
וְזָרְעוֹ מְבַקֵש לַחֶם<br>
ה' עֹז לְעַמוֹ יִתֵן<br>
ה' יְבַרֵך אֶת עַמוֹ בַשָלוֹם",,,https://youtu.be/X5dUlOEq3dk
Nafshi,,"נַפְשִׁי נַפְשִׁי חָמְדָה בְּצֵל יָדֶךָ<br>
אוֹי לָדַעַת כָּל רָז סוֹדֶךָ <br>
יֶעֱרַב נָא שִֹיחִי עָלֶיךָ<br>
כִּי נַפְשִׁי תַעֲרֹג אֵלֶיךָ ",,,https://youtu.be/-6hnYAEUV2M
N'kadesh,,"נְקַדֵּשׁ אֶת־שִׁמְךָ בָּעוֹלָם <br>
כְּשֵׁם שֶׁמַּקְדִּישִׁים אוֹתוֹ בִּשְׁמֵי מָרוֹם<br>
יִמְלֹךְ ה' לְעוֹלָם אֱלֹקיִךְ צִיּוֹן <br>
לְדֹר וָדֹר הַלְלוּקהּ וְאַתָּה קָדוֹשׁ <br>
יוֹשֵׁב תְּהִלּוֹת יִשְׂרָאֵל. קל נָא ",Miami,,https://youtu.be/3osiYh1UYU4
Nishmas,,"נִשְׁמַת כָּל חַי תְּבַרֵךְ אֶת שִׁמְךָ ה' אֱלֹקינוּ<br> וְרוּחַ כָּל בָּשָׂר תְּפָאֵר וּתְרוֹמֵם 
זִכְרְךָ  מַלְכֵּנוּ  תָמִיד <br>
מִן הָעוֹלָם וְעַד הָעוֹלָם אַתָּה אֵ-ל <br>
וּמִבַּלְעָדֶיךָ אֵין לָנוּ מֶלֶךְ גּוֹאֵל וּמוֹשִיעַ ",,,?
Ivdu,,עִבְדוּ אֶת-ה׳ בְּשִׂמְחָה בֹּאוּ לְפָנָיו בִּרְנָנָה<br> כִּי־טוֹב ה׳ לְעוֹלָם חַסְדּוֹ וְעַד־דֹּר וָדֹר אֱמוּנָתוֹ ,Shalsheles J,,https://youtu.be/8NgRvZGMaVg
Oid Yeishvu,,"עוֹד יֵשְׁבוּ זְקֵנִים וּזְקֵנוֹת .בִּרְחֹבוֹת יְרוּשָׁלָיִם<br>
וְאִישׁ מִשְׁעַנְתּוֹ בְּיָדוֹ .מֵרֹב  מֵרֹב יָמִים<br>
וּרְחֹבוֹת הָעִיר יִמָּלְאוּ, יְלָדִים וִילָדוֹת מְשַׂחֲקִים<br>
בִּרְחֹבֹתֶיהָ ",,,https://youtu.be/O0UhvvKIpFE
Olatz Libi,,"עָלַץ לִבִּי  לִבִּי בַּהַ רָמָה קַרְנִי בַּהַ <br>
רָחַב פִּי עַל אוֹיְבַי .כִּי שָׂמַחְתִּי  בִּישׁוּעָתֶךָ<br>
אֵין קָדוֹשׁ כַּהַ כִּי אֵין  בִּלְתֶּךָ<br>
וְאֵין צוּר וְאֵין צוּר.כֵּאלֹקֵינוּ",Shalsheles,,https://youtu.be/ujXBAxiB4Q4
Piha Pascha,,"פִּיהָ פָּתְחָה בְחׇכְמָה וְתוֹרַת חֶסֶד עַל־לְשׁוֹנָהּ<br>
צוֹפִיָּה הֲלִיכוֹת בֵּיתָהּ וְלֶחֶם עַצְלוּת לֹא תֹאכֵל<br>
קָמוּ בָנֶיהָ וַיְאַשְּׁרוּהָ בַּעְלָהּ וַיְהַלְלָהּ<br>
רַבּוֹת בָּנוֹת עָשׂוּ חָיִל וְאַתְּ עָלִית עַל־כֻּלָּנָה",,,https://youtu.be/VWD7Rss8hGk
Pnei L'elbon,,"פְּנֵי לְעֶלבּוֹן מְקוֹם עָוֹן לְהָשִׂים<br>
צַחַן הָסֵר וְגַם תְּבַשֵׂר לְבָך חוֹסִים – סָלַחתִּי<br>
קוֹלִי שְׁמַע  וּרְאֵה דֶּמַע  עֵינִי <br>
רִיב רִיבִי  שְׁעֵה נִיבִי וַהֲשִׁיבֵנִי סָלַחְתִּי",,,https://youtu.be/dqyN9QJr7Ho
Tzamah Lecha Nafshi,,צָמְאָה לְךָ נַפְשִׁי כָּמַהּ לְךָ בְּשָׂרִי,,,?
Tzamah Nafshi,,"צָמְאָה נַפְשִׁי לֵאלֹקים לְקֵל חָי<br>
לִבִּי וּבְשָׂרִי יְרַנְּנוּ לְקֵל חָי",,,?
Kol Berama,,קוֹל בְּרָמָה נִשְׁמָע רָחֵל מְבַכָּה עַל בָּנֶיהָ,,,"https://youtu.be/_J3pY2LuNY4, https://youtu.be/izVKiUjGXSw,"
Koili Shema,,"קוֹלִי שְׁמַע  וּרְאֵה דֶּמַע  עֵינִי <br>
רִיב רִיבִי  שְׁעֵה נִיבִי וַהֲשִׁיבֵנִי סָלַחְתִּי",YBC,,https://youtu.be/Q6UtlTXNIVI
Riboin Haoilamim,,"רִבּוֹן הָעוֹלָמִים יָדַעתִּי <br>
כִּי הִנְנִי בְּיָדךָ לְבַד <br>
כַּחוֹמֵר בְּיַד הַיוֹצֵר <br>
וְאִם גַם אֶתַאמֵץ בְעֵצוֹת וְתחַבְוּלוֹת <br>
וְכֹל יוֹשבֵי תֵבֵל יְעָמדוֹ לִימִינִי <br>
לְהוֹשִיעֵנִי וְלִסמוֹך נַפשִי <br>
מִבַּלַעדַי עוּזךָ וֽעֶזרָתךָ<br>
אֵין אֵין אֵין עֶזרָה וְיְשוּעָה ",Rechnitz,,https://youtu.be/LYtBfTpGcQ8
Ribon Kol,,"רִבּוֹן כָּל הָעוֹלָמִים לֹא עַל צִדְקוֹתֵינוּ <br>
אֲנַחְנוּ מַפִּילִים תַּחֲנוּנֵינוּ לְפָנֶיךָ <br>
כִּי עַל רַחֲמֶיךָ הָרַבִּים ",,,https://youtu.be/Uxa_WOx0rJQ
Ribono,,"רִבּוֹנוֹ שֶׁל עוֹלָם, יְהִי רָצוֹן מִלְּפָנֶיךָ <br>
קֵל רַחוּם וְחַנוּן שֶׁתְּזַכֵּנִי הַיוֹם וּבְכָל יוֹם <br>
לִשְׁמוֹר פִּי וּלְשׁוֹנִי מִלָּשׁוֹן הָרַע וּרְכִילוּת. <br>
וְיִהְיוּ כָל מַעֲשַׂי וְדִבּוּרַי לְשֵׁם שָׁמַיִם",Ari Goldwag,,https://youtu.be/MAwOfNi1HTA
Recham B'chasdecha,,"רַחֵם בְּחַסְדֶּךָ עַל עַמְּךָ צוּרֵנוּ <br>
עַל צִיּוֹן מִשְׁכַּן כְּבוֹדֶךָ בֶּן־דָּוִד עַבְדֶּךָ<br>
יָבֹא וְיִגְאָלֵנוּ רוּחַ אַפֵּינוּ מְשִׁיחַ ה׳ ",,,
Rachamana,,"רַחֲמָנָא דְעָנֵי דְעָנֵי לַעֲנִיֵּי <br>
רַחֲמָנָא דְעָנֵי  לִתְבִירֵי לִבָּא עֲנֵינָא ",benny friedman,,https://youtu.be/4R4dSEQUgWQ
Shalom Rav,,"שָׁלוֹם רָב לְאֹהֲבֵי תוֹרָתֶךָ וְאֵֽין־לָמוֹ מִכְשֽׁוֹל<br>
שִׂבַּרְתִּי לִישׁוּעָתְךָ ה וּֽמִצְותֶיךָ עָשִֽׂיתִי׃ <br>
שָֽׁמְרָה נַפְשִׁי עֵדֹתֶיךָ וָאֹהֲבֵם מְאֹֽד",,,"https://youtu.be/6vM3IedTPvA,https://youtu.be/g1AeNQpeFn0,"
Shifchi Kamayim,,שִׁפְכִי כַּמַיִם לִיבֵּך נוֹכַח פְּנֵי ה ,,,https://youtu.be/Sncu_SkljVU
T'fila Leoni,,"תְּפִילָה לְעָנִי כִּי יַעַטֹף וְלִפנֵי ה׳ יְשׁפֹּך שִיחוֹ <br>
ה׳ שְמָעָה תְּפִילָתִי וְשַׁועָתִי אֵלֶיךָ תָּבוֹא<br>
<<<<<<< Updated upstream
>>>>>>> Stashed changes
=======
>>>>>>> Stashed changes
אַל תַּסתֶּר פָּנֶיךָ מִמֶנִי בְּיוֹם צַר לִי",,,https://youtu.be/BAN-pW2nOpc