alt title,title,lyrics,credits/comments,google drive link,youtube link,
"Avinu Av Harachaman, אָבִֽינוּ אָב הָרַחֲמָן",,"אָבִֽינוּ אָב הָרַחֲמָן
הַמְרַחֵם רַחֵם עָלֵֽינוּ 
(טאַטֶע, אוֹי טאַטֶע)
וְתֵן בְּלִבֵּנוּ בִּינָה
לְהָבִין וּלְהַשְׂכִּיל
לִשְׁמוֹעַלִ לְמוֹד וּלְלַמֵּד
לִשְׁמוֹר  וְלַעֲשׂוֹת 
וּלְקַיֵּם אֶת כָּל דִּבְרֵי
תַלְמוּד תּוֹרָתֶךָ בְּאַהֲבָה",,,"https://www.youtube.com/watch?v=zV_GSoaOJFo, https://www.youtube.com/watch?v=-DACmtfohHE",
"avinu malkeinu ein lanu melech,אָבִינוּ מַלְכֵּנוּ אֵין לָנוּ מֶלֶךְ",,אָבִינוּ מַלְכֵּנוּ אֵין לָנוּ מֶלֶךְ אֶלָּא אָתָּה,,,https://youtu.be/I5Z_D97X24g?t=76,
,,"אַחֵינוּ כָּל בֵּית יִשְׂרָאֵל, 
הַנְּתוּנִים בְּצָרָה וּבַשִּׁבְיָה, 
הָעוֹמְדִים בֵּין בַּיָּם וּבֵין בַּיַּבָּשָׁה, 
הַמָּקוֹם יְרַחֵם עֲלֵיהֶם
וְיוֹצִיאֵם מִצָּרָה לִרְוָחָה
וּמֵאֲפֵלָה לְאוֹרָה, 
וּמִשִּׁעְבּוּד לִגְאֻלָּה, 
הַשְׁתָּא בַּעֲגָלָא וּבִזְמַן קָרִיב.. ",,,https://youtu.be/q4PxCtN5BgE,
,,"אִילָן אִילָן בַּמָּה אֲבָרֶכְךָ 
שֶׁיְּהוּ פֵּירוֹתֶיךָ מְתוּקִין
הֲרֵי פֵּירוֹתֶיךָ מְתוּקִין
שֶׁיְּהֵא צִילְּךָ נָאֶה
הֲרֵי צִילְּךָ נָאֶה
אֶלָּא יְהִי רָצוֹן 
שֶׁכׇּל נְטִיעוֹת
שֶׁנּוֹטְעִין מִמְּךָ יִהְיוּ כְּמוֹתְךָ",,,"https://www.youtube.com/watch?v=pSiwTwYYO94&pp=ygUJaWxhbiBpbGFu, https://youtu.be/VUaAAj3t_HU",
,,"אֵין עֲרוֹךְ לְךָ, וְאֵין זוּלָתֶֽךָ
אֶֽפֶס בִּלְתֶּֽךָ, וּמִי דּֽוֹמֶה לָּךְ
אֵין עֲרוֹךְ לְךָ, הַ׳ אֱלֹקינוּ, בָּעוֹלָם הַזֶּה
 וְאֵין זוּלָתְךָ מַלְכֵּֽנוּ לְחַיֵּי הָעוֹלָם הַבָּא",,,"https://www.youtube.com/watch?v=eTBqH3QlTJQ, https://www.youtube.com/watch?v=qlpj_7qXmlY&pp=ygUPZWluIGFyb2NoIGxlY2hh",
,,"אֱלָהָא דִּי לֵהּ יְקַר וּרְבוּתָא
פְּרוֹק יַת עָנָךְ מִפּוּם אַרְיְוָתָא
וְאַפֵּיק יַת עַמֵּךְ מִגּוֹ גָלוּתָ
עַמֵּךְ דִּי בְחַרְתְּ מִכָּל אֻמַּיָּא",,,"https://www.youtube.com/watch?v=medQfTWMs8Q, https://www.youtube.com/watch?v=DLVLnKaSt1Q",
,,"אֵלֶיךָ ה' אֶקְרָא; וְאֶל- ה', אֶתְחַנָּנ
שְׁמַע-ה' וְחָנֵּנִי; ה' הֱיֵה-עֹזֵר לִי ",,,https://www.youtube.com/watch?v=WvH3CdtkgQ0,
,,"אֱלקי נְשָׁמָה שֶׁנָּתַתָּ בִּי טְהורָה הִיא
אַתָּה בְרָאתָהּ, אַתָּה יְצַרְתָּהּ
אַתָּה נְפַחְתָּהּ בִּי וְאַתָּה מְשַׁמְּרָהּ בְּקִרְ
בִּי וְאַתָּה עָתִיד לִטְּלָהּ מִמֶּנִּי
וּלְהַחֲזִירָהּ בִּי לֶעָתִיד לָבוֹא",Baruch Levine,,https://www.youtube.com/watch?v=1a2oVRiiwyE,
,,"אַל תִּירָא כִּי יַעֲשִׁר אִישׁ
כִּי יִרְבֶּה כְּבוֹד בֵּיתוֹ. 
כִּי לֹא בְמוֹתוֹ יִקַּח הַכֹּל 
לֹא יֵרֵד אַחֲרָיו כְּבוֹדוֹ",Miami,,https://www.youtube.com/watch?v=1a2oVRiiwyE,
,,"אִם אֶשְׁכָּחֵךְ יְרוּשָׁלָיִם, תִּשְׁכַּח יְמִינִי. 
תִּדְבַּק לְשׁוֹנִי לְחִכִּי אִם לֹא אֶזְכְּרֵכִי, 
אִם לֹא אַעֲלֶה אֶת יְרוּשָׁלַֽיִם
עַל רֹאשׁ שִׂמְחָתִי",Shwekey,,https://www.youtube.com/watch?v=3Em9oLEP5EM,
,,"אִם הָיוּ בְּנֵי אָדָם מַרְגִּישִׁים
בִּמְתִיקוּת וַעֲרֵיבוּת טוּב הַתּוֹרָה
הָיוּ, הָיוּ מִשְׁתַּגְּעִים - וּמִתְלַהֲטִים אַחֲרֶיהָ
וְלֹא יֵחָשֵׁב בְּעֵינֵיהֶם, מְלוֹא עוֹלָם
כֶּסֶף וְזָהָב, לִמְאוּמָה
כִּי הַתּוֹרָה כּוֹלֶלֶת כָּל הַטּוֹבוֹת שֶׁבָּעוֹלָם",Yisroel Werdyger,,https://www.youtube.com/watch?v=BYevuiqL9QI,
,,"אָנָּא בְּכֹחַ גְּדֻלַּת יְמִינְךָ תַּתִּיר צְרוּרָה
קַבֵּל רִנַּת עַמְּךָ  שַׂגְּבֵנוּ טַהֲרֵנוּ נוֹרָא",,,,
,,"אֲנָא עַבְדָּא ,דְקֻדְשָׁא בְּרִיךְ הוּא",,,https://www.youtube.com/watch?v=z4e8FQhv1TM,
,,"אָנָּה ה', כִּי-אֲנִי עַבְדֶּךָ אֲנִי-עַבְדְּךָ, 
בֶּן-אֲמָתֶךָ; פִּתַּחְתָּ, לְמוֹסֵרָי",,,https://www.youtube.com/watch?v=g-sTY08ORU4&pp=ygUVYW5hIGhhc2hlbSBjYXJsZWJhY2gg,
,,"אֲנִי יְשֵׁנָה וְלִבִּי עֵר קוֹל  דּוֹדִי דוֹפֵק
פִּתְחִי־לִי אֲחֹתִי רַעְיָתִי יוֹנָתִי תַמָּתִי",,,https://youtu.be/YZJQ3rZ-TQs,
,,"אֲנִי מַאֲמִין בֶּאֱמוּנָה שְׁלֵמָה
בְּבִיאַת הַמָּשִׁיחַ וְאַף עַל פִּי שֶׁיִּתְמַהְמֵהַּ
עִם כָּל זֶה אֲחַכֶּה לּוֹ בְּכָל יוֹם שֶׁיָּבוֹא",,,https://youtu.be/Y3gSOBfIvLA,
,,"אֲנִי מַאֲמִין בֶּאֱמוּנָה שְׁלֵמָה 
שֶׁהַבּוֹרֵא יִתְבָּרַךְ שְׁמוֹ 
הוּא בוֹרֵא וּמַנְהִיג לְכָל הַבְּרוּאִים 
וְהוּא לְבַדּוֹ עָשָׂה וְעוֹשֶׂה וְיַעֲשֶׂה
 לְכָל הַמַּעֲשִׂים ",,,https://www.youtube.com/watch?v=YztAoobKUwU&t=1s,
,,"אֶקְרָא לֵאלֹקים עֶלְיוֹן
לָאֵל גֹּמֵר עָלָי 
יִשְׁלַח מִשָּׁמַיִם וְיוֹשִׁיעֵנִי
חֵרֵף שֹׁאֲפִי סֶלָה ",,,https://www.youtube.com/watch?v=_I0z_IHzIdI,
,,"אֶשָּׂא עֵינַי, אֶל-הֶהָרִים, מֵאַיִן יָבֹא עֶזְרִי 
עֶזְרִי מֵעִם ה' עֹשֵׂה שָׁמַיִם וָאָרֶץ 
הִנֵּה לֹא יָנוּם, וְלֹא יִישָׁן שׁוֹמֵר יִשְׂרָאֵל",,,https://www.youtube.com/watch?v=IGnfwtlqZ2M&pp=ygUJZXNhIGVpbmFp,
,,"אֶת־צֶֽמַח דָּוִד עַבְדְּךָ מְהֵרָה תַצְמִֽיחַ
וְקַרְנוֹ תָּרוּם בִּישׁוּעָתֶֽךָ
כִּי לִישׁוּעָתְךָ קִוִּֽינוּ כָּל הַיּוֹם",,,https://youtu.be/wMaHcF0Me7c,
,,"אַתָּה הָרְאֵתָ לָדַעַת, כִּי ה' הוּא הָאֱלֹקִים 
אֵין כָּמוֹךָ בָאֱלֹקִים הַ׳ 
וְאֵין כְּמַעֲשֶׂיךָ אֵין עוֹד מִלְּבַדּוֹ",,,https://youtu.be/JA1wESz6iBg?t=48,
,,"בִּלְבָבִי מִשְׁכָּן אֶבְנֶה לַהֲדַר כְּבוֹדוֹ
וּלמִּשְׁכָּן מִזְבֵּֽחַ אָשִׂים לְקַרְנֵי הוֹדוֹ
וּלְנֵר תָּמִיד אֶקַּח לִי אֶת–אֵשׁ הָעֲקֵידָה
וּלְקָרְבָּן אַקְרִיב לוֹ אֶת נַפְשִי הַיְחִידָה",,,https://youtu.be/VMftk982Epo,
,,"בַּעֲבוּר אֲבוֹתֵינוּ שֶׁבָּטְחוּ בְךָ
וַתְּלַמְּדֵם חֻקֵּי חַיִּים כֵּן תְּחָנֵּנוּ וּתְלַמְּדֵנוּ
וְתֵן בְּלִבֵּנוּ לְהָבִין לִלְמוֹד וּלְלַמֵּד בְּאַהֲבָה ",,,https://youtu.be/7dFGoSctbyg,
,,"בְּשֵׁם הַשֵּׁם אֱלֹקי יִשְׂרָאֵל
מִימִינִי מִיכָאֵל וּמִשְּׂמֹאלִי גַּבְרִיאֵל
וּמִלְּפָנַי אוּרִיאֵל וּמֵאֲחוֹרַי רְפָאֵל 
רֹאשִׁי שְׁכִינַת אֵ-ל
לֹא תִירָא  מִפַּחַד לָיְלָה מֵחֵץ יָעוּף יוֹמָם",,,https://youtu.be/85SN4K8NdmM,
,,"בְּשָׁעָה שֶׁמֶּלֶךְ הַמָּשִׁיחַ בָּא
עוֹמֵד עַל גַּג בֵּית הַמִּקְדָּשׁ
וּמַשְׁמִיעַ לְיִשְׂרָאֵל וְאוֹמֵר
עֲנָוִים עֲנָוִים הִגִּיעַ זְמַן גְּאֻלַּתְכֶם 
וְאֵם אֵין אַתֶּם מַאֲמִינִים
רָאוּ בְּאוֹרִי שֶׁזּוֹרֵחַ",,,https://www.youtube.com/watch?v=nb8MkUtdrpo,
,,"גַּם כִּי-אֵלֵךְ בְּגֵיא צַלְמָוֶת
לֹא אִירָא רָע כִּי-אַתָּה עִמָּדִ
שִׁבְטְךָ וּמִשְׁעַנְתֶּךָ הֵמָּה יְנַחֲמֻנִי",,,https://youtu.be/fD7yBFImhX4?t=51,
,,"הֲבֵן יַקִּיר לִי אֶפְרַיִם אִם יֶלֶד שַׁעֲשׁוּעִים
כִּי מִדֵּי דַבְּרִי בּו זָכר אֶזְכְּרֶנּוּ עוֹד 
עַל כֵּן הָמוּ מֵעַי לו רַחֵם אֲרַחֲמֶנּוּ נְאֻם ה",,,https://youtu.be/OlJFy5C0MKI?t=27,
,,"הַבֵּט מִשָּׁמַֽיִם וּרְאֵה
כִּי הָיִֽינוּ לַֽעַג וָקֶֽלֶס בַּגּוֹיִם
נֶחְשַֽׁבְנוּ כַּצֹּאן לָטֶֽבַח יוּבָל
לַהֲרוֹג וּלְאַבֵּד וּלְמַכָּה וּלְחֶרְפָּה
וּבְכָל־זֹאת שִׁמְךָ לֺא שָׁכָֽחְנוּ
נָא אַל־תִּשְׁכָּחֵֽנוּ: ",,,https://www.youtube.com/watch?v=3sko0Hw6gYY,
,,"הִגָלֵה נָא וּפְרש חָבִיבי עָלַי 
אֶת סֻכַת שְלומָךְ",,,https://youtu.be/CJd2-pAUso8,
,,"הֵמָּה כָּרְעוּ וְנָפָלוּ וַאֲנַחְנוּ קַּמְנוּ וַנִּתְעוֹדָֽד
הַ׳ הוֹשִׁיעָה הַמֶּלֶךְ יַעֲנֵנוּ בְיוֹם־קרְאֵנוּ",,,https://www.youtube.com/watch?v=Y_jY2hqPeHw&,
,,"הַמַּלְאָךְ הַגֹּאֵל אֹתִי מִכָּל-רָע
יְבָרֵךְ אֶת-הַנְּעָרִים וְיִקָּרֵא בָהֶם שְׁמִי 
וְשֵׁם אֲבֹתַי אַבְרָהָם וְיִצְחָק 
וְיִדְגּוּ לָרֹב בְּקֶרֶב הָאָרֶץ",,,https://www.youtube.com/watch?v=Y_jY2hqPeHw&pp=ygUXaGFtYWxhY2ggYmVubnkgZnJpZWRtYW4%3D,
,,"הִשְׁבַּעְתִּי אֶתְכֶם בְּנוֹת יְרוּשָׁלָםִ 
אִם תִּמְצְאוּ אֶת דּוֹדִי מַה תַּגִּידוּ לוֹ
שֶׁחוֹלַת אַהֲבָה אָנִי",,,https://www.youtube.com/watch?v=CXiIJ8IZNKI,
,,"וַאֲנִי בְּחַסְדְּךָ בָטַחְתִּי יָגֵל לִבִּי בִּֽישׁוּעָתֶךָ 
אָשִׁירָה לַֽה' כִּי גָמַל עָלָֽי",,,https://www.youtube.com/watch?v=Dw-FJJOjglE,
,,"וִאַפִילוּ בְּהַסתּוּרָה שֶבְּתוֹךְ הַסתּוּרָה 
בְּווַדַאי גַם שוּם נִמצָא הַשֵם יִתבָּרַך.
גַם מֵאַחוֹרֵי הַדבוּריִם הַקוּשִׁים 
הוּעוֹברִים עָלֶיךָ - אַנִי עוֹמֵד",,,https://www.youtube.com/watch?v=8Opq1AiZXco&pp=ygURdmVhZmlsdSBiZWhhc3RhcmE%3D,
,,"וְאַתֶּם תִּהְיוּ־לִי ,מַמְלֶכֶת כֹּהֲנִים וְגוֹי קָדוֹשׁ",,,https://www.youtube.com/watch?v=sssFjqCd3-0&pp=ygURbWFtbGVjaGVzIGtvaGFuaW0%3D,
,,"וַהֲבִיאוֹתִים אֶל-הַר קָדְשִׁי 
וְשִׂמַּחְתִּים בְּבֵית תְּפִלָּתִי
עוֹלֹתֵיהֶם וְזִבְחֵיהֶם לְרָצוֹן  עַל-מִזְבְּחִי
כִּי בֵיתִי  בֵּית-תְּפִלָּה יִקָּרֵא לְכָל-הָעַמִּים",,,https://www.youtube.com/watch?v=W1-ZlpSRQ2c,
,,"וְהוּא קֵלִי וְחַי גוֹאֲלִי וְצוּר חֶבְלִי בְּעֵת צָרָה 
וְהוּא נִסִּי וּמָנוֹס לִי מְנָת כּוֹסִי בְּיוֹם אֶקְרָא 
בְּיָדוֹ אַפְקִיד רוּחִי בְּעֵת אִישָׁן וְאָעִירָה
וְעִם רוּחִי גְּוִיָּתִי הַ’ לִי  וְלֹא אִירָא",Baruch Levine,,https://youtu.be/YyZvtxPcadk,
,,"וְהִיא שֶׁעָמְדָה לַאֲבוֹתֵיֽנוּ וְלָנֽוּ
שֶׁלֹא אֶחָד בִּלְבָד  עָמַד עָלֵיֽנוּ לְכַלּוֹתֵנֽוּ
וְהַקָּדוֹשׁ בָּרוּךְ הוּא מַצִּילֵנוּ מִיָּדָם",Yaakov Shwekey,,https://youtu.be/qoUj5obgdxg?t=53,
,,"וִיהִי נֹעַם הַ׳ אֱלֹקינוּ עָלֵינוּ 
וּמַעֲשֵׂה יָדֵינוּ כּוֹנְנָה עָלֵינוּ 
וּמַעֲשֵׂה יָדֵינוּ כּוֹנְנֵהוּ",Motty Steinmetz,,https://youtu.be/y7pL8QIb9Yo?t=33,
,,"וְיִהְיוּ זַרְעִי וְזֶרַע זַרְעִי
תַּלְמִידֵי חֲכָמִים, וַחֲסִידִים 
אֲהוּבִים לְמַעְלָה וְנֶחְמָדִים לְמַטָּה
וְתַחְזִיק אֶת לְבָבָם, לְתּוֹרָה וַעֲבוֹדָה
הַכֹּל, בִּרְצוֹנְךָ הַטּוֹב
וְאֶזְכֶּה לִרְאוֹת לִרְאוֹת בָּנִים ,בָּנִים וּבְנֵי בָּנִים
עוֹסְקִים בַּתּוֹרָה ,בַּתּוֹרָה וּמִצְוֹת בֶּאֱמֶת",,,https://youtu.be/IFvn8df6TCg?t=29,
,,"וְהִנֵּה ה' נִצָּב עָלָיו
וּ""מְלֹא כָל הָאָרֶץ כְּבוֹדוֹ 
וּמַבִּיט עָלָיו וּבוֹחֵן כְּלָיוֹת
וָלֵב אִם עוֹבְדוֹ כָּרָאוּי ",,,https://www.youtube.com/watch?v=BPxd-sqtZyk,
,,"וּמָחָה הַ׳ דִמָעה מֵעַל כָּל פָּנִים 
וחֶרפַּת עַמוֹ יָסִיר מֵעַל כָּל הָאָרֶץ",Baruch Levine,,https://youtu.be/_-umILisNLs?t=29,
,,"וְהַרְאֵֽנוּ בְּבִנְיָנוֹ וְשַׂמְּחֵֽנוּ בְּתִקּוּנוֹ
וְהָשֵׁב כֹּהֲנִים לַעֲבוֹדָתָם 
וּלְוִיִּם לְשִׁירָם וּלְזִמְרָם 
וְהָשֵׁב יִשְׂרָאֵל לִנְוֵיהֶם 
וְשָׁם נַעֲלֶה וְנֵרָאֶה וְנִשְׁתַּחֲוֶה לְפָנֶֽיךָ 
בְּנֵה בֵיתְךָ כְּבַתְּחִלָּה ",,,https://youtu.be/QiadgWV4YxI?t=43,
,,"וְזַכֵּנִי לְגַדֵל בָּנִים וּבְנֵי בָנִים
חֲכָמִים וּנְבוֹנִים
אוֹהַבֵי הַשֵם יִראֵי אֶלֹקִים 
אַנְשֵי אֶמֶת זֶרַע קוֹדֶשׁ בַשֵם דְּבֵקִים 
וּמְאִירִים אֶת הָעוֹלָם 
בַּתוֹרָה וּבְמַעֲשִים טוֹבִים 
וּבְכָל מְלֶאכֶת עֲבוֹדַת הַבוֹרֵא",,,https://youtu.be/QiadgWV4YxI?,
,,"וִיהִי רָצוֹן מִלִּפְנֵי אָבִינוּ שֶׁבַּשָּׁמַיִם
שֶׁיִּתֵּן בְּלִבְּךָ  אַהֲבָתוֹ וְיִרְאָתוֹ
וְתִהְיֶה יִרְאַת הַ’  עַל פָּנֶיךָ
כֹּל יְמֵי  יְמֵי חַיֶּיךָ 
וְיִתֶּן  לְךָ בָּנִים  בָּנִים  וּבָנוֹת
צַדִּיקִים וְצַדִּיקוֹת/וְצִדְקָנִיּוֹת
עוֹסְקִים בַּתּוֹרָה וּבְמִצְווֹת",Simcha Leiner,,https://youtu.be/e1iLc_4Gsdk?t=28,
,,"וְכָל מִי שֶׁעוֹסְקִים בְּצָרְכֵי צִבּוּר בֶּאֱמוּנָה
הַקָּדוֹשׁ  בָּרוּךְ הוּא יְשַׁלֵּם שְׂכָרָם
וְיָסִיר מֵהֶם כָּל מַחֲלָה 
וְיִרְפָּא  לְכָל גּוּפָם וְיִסְלַח לְכָל עֲוֹנָם
וְיִשְׁלַח בְּרָכָה וְהַצְלָחָ בְּכָל מַעֲשֵׂה יְדֵיהֶם
עִם כָּל יִשְׂרָאֵל אֲחֵיהֶם וְנֹּאמַר אָמֵן",Yehudah Green,,https://youtu.be/xi_EPclMZjY,
